"","Identificacion","Familia","Departamento","Genero","Edad","Parentesco","Estado.civil","Nivel.educativo.alcanzado","Empleo.antes","Rama.actividad","tiempo.en.colombia","Horas.disponibles","ocupacion","Factor.de.expansion","Ingresos_total"
"6130","4935096-1-1","4935096 - 1","15","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Menos de 1 año","(0,39]","No asalariado",141.581368851917,622800
"6131","4935163-1-1","4935163 - 1","17","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Servicios sociales y de salud","Entre 1 y 5 años","(48,130]","No asalariado",214.226741836515,6228000
"6132","4935397-1-1","4935397 - 1","47","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades empresariales","Entre 1 y 5 años","(0,39]","No asalariado",191.749146581448,103800
"6133","4935397-1-2","4935397 - 1","47","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","No","Construcción","Entre 1 y 5 años","(48,130]","No asalariado",191.749146581448,830400
"6134","4935403-1-1","4935403 - 1","47","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",224.483422376087,519000
"6135","4935474-1-1","4935474 - 1","50","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","No","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",414.290152912527,830400
"6136","4935474-1-3","4935474 - 1","50","Masculino","(18,26]","Nucleo familiar","Soltero","Básica secundaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",414.290152912527,62280
"6137","4935670-2-1","4935670 - 2","54","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Otras actividades de servicios","Menos de 1 año","(39,48]","No asalariado",636.817040264976,519000
"6138","4935672-1-1","4935672 - 1","54","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Otras actividades de servicios","Mas de 5 años","(48,130]","No asalariado",476.701705789942,622800
"6139","4935672-1-2","4935672 - 1","54","Masculino","(14,18]","Nucleo familiar","Soltero","Básica secundaria","No","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",476.701705789942,519000
"6140","4935672-1-3","4935672 - 1","54","Masculino","(14,18]","Nucleo familiar","Soltero","Básica secundaria","No","Otras actividades de servicios","Entre 1 y 5 años","(39,48]","No asalariado",476.701705789942,435960
"6141","4935672-1-4","4935672 - 1","54","Femenino","(59,100]","Otros parientes","Separado y/o viudo","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",476.701705789942,311400
"6142","4935672-1-5","4935672 - 1","54","Masculino","(26,59]","Otros No parientes","Separado y/o viudo","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",476.701705789942,726600
"6143","4935672-1-6","4935672 - 1","54","Masculino","(18,26]","Otros No parientes","Soltero","Básica secundaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",476.701705789942,726600
"6144","4935676-1-1","4935676 - 1","54","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]","Asalariado",402.460069377028,830400
"6145","4935689-1-1","4935689 - 1","54","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",260.442482595351,145320
"6146","4935694-1-1","4935694 - 1","54","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Construcción","Entre 1 y 5 años","(48,130]","No asalariado",447.920939270503,830400
"6147","4935694-1-2","4935694 - 1","54","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(0,39]","Asalariado",447.920939270503,415200
"6148","4935706-1-1","4935706 - 1","54","Masculino","(59,100]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Educación","Entre 1 y 5 años","(0,39]","No asalariado",272.828796675297,1349400
"6149","4935708-2-1","4935708 - 2","54","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",676.20806479803,0
"6150","4935708-3-1","4935708 - 3","54","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",676.20806479803,415200
"6151","4935710-1-1","4935710 - 1","54","Femenino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Hogares privados con servicio doméstico","Menos de 1 año","(0,39]","Asalariado",422.988123683833,446340
"6152","4935710-1-3","4935710 - 1","54","Masculino","(18,26]","Otros parientes","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","No asalariado",422.988123683833,207600
"6153","4935710-2-1","4935710 - 2","54","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(39,48]","No asalariado",422.988123683833,311400
"6154","4935710-2-2","4935710 - 2","54","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",422.988123683833,290640
"6155","4935710-2-3","4935710 - 2","54","Femenino","(26,59]","Otros No parientes","Separado y/o viudo","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",422.988123683833,311400
"6156","4935710-2-6","4935710 - 2","54","Masculino","(18,26]","Otros No parientes","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",422.988123683833,311400
"6157","4935718-1-1","4935718 - 1","54","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(39,48]","No asalariado",418.43508995872,186840
"6158","4935718-1-2","4935718 - 1","54","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]","No asalariado",418.43508995872,467100
"6159","4935723-1-4","4935723 - 1","54","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Fabricación de producto de papel y cartón","Entre 1 y 5 años","(48,130]","Asalariado",413.214080385506,960303.624
"6160","4935727-1-1","4935727 - 1","54","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Administración pública y defensa","Entre 1 y 5 años","(39,48]","Asalariado",333.910924835974,2520783
"6161","4935727-1-2","4935727 - 1","54","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Construcción","Entre 1 y 5 años","(48,130]","Asalariado",333.910924835974,1349400
"6162","4935729-1-1","4935729 - 1","54","Masculino","(18,26]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Fabricación de prendas de vestir","Entre 1 y 5 años","(48,130]","No asalariado",479.317108090819,830400
"6163","4935739-1-1","4935739 - 1","54","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",473.765067545914,778500
"6164","4935739-1-2","4935739 - 1","54","Masculino","(26,59]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",473.765067545914,830400
"6165","4935741-1-1","4935741 - 1","54","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",353.927016956313,622800
"6166","4935741-1-5","4935741 - 1","54","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Fabricación de prendas de vestir","Menos de 1 año","(0,39]","No asalariado",353.927016956313,155700
"6167","4935741-1-6","4935741 - 1","54","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Actividades complementarias/auxiliares al transporte","Menos de 1 año","(39,48]","No asalariado",353.927016956313,207600
"6168","4935742-1-1","4935742 - 1","54","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",469.531986093749,674700
"6169","4935742-1-2","4935742 - 1","54","Masculino","(14,18]","Nucleo familiar","Soltero","Básica primaria","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]","No asalariado",469.531986093749,809640
"6170","4935742-1-4","4935742 - 1","54","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(48,130]","Asalariado",469.531986093749,871920
"6171","4935759-1-2","4935759 - 1","63","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Mas de 5 años","(48,130]","Asalariado",198.402258908886,960303.624
"6172","4935811-1-1","4935811 - 1","63","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","Asalariado",238.056995222805,859464
"6173","4935887-1-2","4935887 - 1","70","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Básica secundaria","No","Otras actividades de servicios","Entre 1 y 5 años","(39,48]","No asalariado",133.209064912383,498240
"6174","4935887-1-6","4935887 - 1","70","Masculino","(59,100]","Otros parientes","Separado y/o viudo","Media (10o -13o)","No","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",133.209064912383,830400
"6175","4935887-1-7","4935887 - 1","70","Masculino","(18,26]","Otros parientes","Soltero","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",133.209064912383,622800
"6176","4935922-1-1","4935922 - 1","73","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",221.118345930648,1245600
"6177","4935989-1-1","4935989 - 1","76","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Menos de 1 año","(39,48]","Asalariado",1461.76383293287,830400
"6178","4936246-1-1","4936246 - 1","5","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",1160.81635892536,1224840
"6179","4936246-2-1","4936246 - 2","5","Masculino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Otras actividades empresariales","Menos de 1 año","(39,48]","Asalariado",1160.81635892536,2325120
"6180","4936246-3-1","4936246 - 3","5","Masculino","(26,59]","Jefe de hogar","Soltero","Básica primaria","Si","Construcción","Menos de 1 año","(48,130]","No asalariado",1160.81635892536,41520
"6181","4936246-6-1","4936246 - 6","5","Masculino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","Asalariado",1160.81635892536,1264284
"6182","4936257-1-1","4936257 - 1","5","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Menos de 1 año","(48,130]","Asalariado",1199.47809270274,859584.408
"6183","4936257-1-4","4936257 - 1","5","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(39,48]","Asalariado",1199.47809270274,1761521.292
"6184","4936257-1-6","4936257 - 1","5","Masculino","(26,59]","Otros parientes","Soltero","Media (10o -13o)","Si","Educación","Menos de 1 año","(39,48]","No asalariado",1199.47809270274,20760
"6185","4936262-1-1","4936262 - 1","5","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Alquiler de maquinaria y equipo sin operarios","Menos de 1 año","(39,48]","Asalariado",1228.41066574742,1138719.216
"6186","4936262-1-3","4936262 - 1","5","Masculino","(18,26]","Nucleo familiar","Soltero","Superior o universitaria","No","Otras actividades empresariales","Menos de 1 año","(39,48]","Asalariado",1228.41066574742,960303.624
"6187","4936307-1-1","4936307 - 1","5","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Construcción","Entre 1 y 5 años","(48,130]","Asalariado",1024.03805862021,1022583.624
"6188","4936307-1-2","4936307 - 1","5","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(0,39]","No asalariado",1024.03805862021,72660
"6189","4936307-1-3","4936307 - 1","5","Femenino","(18,26]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Otras actividades empresariales","Mas de 5 años","(39,48]","Asalariado",1024.03805862021,960303.624
"6190","4936307-1-5","4936307 - 1","5","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de muebles / industrias manufactureras","Entre 1 y 5 años","(48,130]","No asalariado",1024.03805862021,207600
"6191","4936307-1-6","4936307 - 1","5","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades empresariales","Entre 1 y 5 años","(48,130]","No asalariado",1024.03805862021,207600
"6192","4936307-1-8","4936307 - 1","5","Masculino","(26,59]","Otros No parientes","Soltero","Superior o universitaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","Asalariado",1024.03805862021,960303.624
"6193","4936345-1-1","4936345 - 1","5","Masculino","(26,59]","Jefe de hogar","Soltero","Básica primaria","Si","Fabricación de muebles / industrias manufactureras","Menos de 1 año","(39,48]","Asalariado",1147.95655602763,1038000
"6194","4936345-1-2","4936345 - 1","5","Masculino","(26,59]","Otros parientes","Separado y/o viudo","Básica secundaria","Si","Fabricación de vehículos automotores","Menos de 1 año","(39,48]","Asalariado",1147.95655602763,996480
"6195","4936345-1-3","4936345 - 1","5","Femenino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","Asalariado",1147.95655602763,415200
"6196","4936345-1-4","4936345 - 1","5","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Construcción","Menos de 1 año","(39,48]","Asalariado",1147.95655602763,747360
"6197","4936361-1-1","4936361 - 1","5","Femenino","(26,59]","Jefe de hogar","Soltero","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",1173.10534758575,934200
"6198","4936399-1-1","4936399 - 1","8","Femenino","(59,100]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",518.315633633168,1038000
"6199","4936399-1-2","4936399 - 1","8","Masculino","(18,26]","Nucleo familiar","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","Asalariado",518.315633633168,830400
"6200","4936399-1-3","4936399 - 1","8","Femenino","(18,26]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","Asalariado",518.315633633168,961188
"6201","4936399-1-4","4936399 - 1","8","Femenino","(26,59]","Nucleo familiar","Separado y/o viudo","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",518.315633633168,1067064
"6202","4936413-1-5","4936413 - 1","8","Masculino","(59,100]","Otros parientes","Separado y/o viudo","Básica primaria","No","Construcción","Entre 1 y 5 años","(0,39]","No asalariado",508.368932061418,311400
"6203","4936432-1-1","4936432 - 1","8","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Educación","Entre 1 y 5 años","(0,39]","Asalariado",594.243892232781,467100
"6204","4936432-1-2","4936432 - 1","8","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]","Asalariado",594.243892232781,934200
"6205","4936443-1-2","4936443 - 1","8","Masculino","(18,26]","Otros parientes","Soltero","Básica secundaria","No","Reciclaje de metalicos y no metalicos","Entre 1 y 5 años","(48,130]","No asalariado",633.114651546655,622800
"6206","4936443-1-3","4936443 - 1","8","Masculino","(14,18]","Otros parientes","Soltero","Media (10o -13o)","No","Reciclaje de metalicos y no metalicos","Entre 1 y 5 años","(48,130]","No asalariado",633.114651546655,519000
"6207","4936465-1-5","4936465 - 1","8","Femenino","(26,59]","Otros parientes","Soltero","Superior o universitaria","Si","Correo y telecomunicaciones","Menos de 1 año","(48,130]","Asalariado",586.341271833453,622800
"6208","4936472-1-1","4936472 - 1","8","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",651.48086873159,960270.408
"6209","4936472-1-2","4936472 - 1","8","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(0,39]","Asalariado",651.48086873159,404820
"6210","4936478-1-3","4936478 - 1","8","Masculino","(26,59]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Menos de 1 año","(39,48]","Asalariado",476.426208778587,726600
"6211","4936496-1-5","4936496 - 1","8","Femenino","(18,26]","Nucleo familiar","Separado y/o viudo","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(48,130]","Asalariado",604.216756768488,519000
"6212","4936502-3-1","4936502 - 3","8","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",560.166155656705,155700
"6213","4936502-3-2","4936502 - 3","8","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Otras actividades de servicios","Menos de 1 año","(0,39]","No asalariado",560.166155656705,155700
"6214","4936513-1-1","4936513 - 1","8","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]","Asalariado",625.74215182702,830400
"6215","4936513-2-1","4936513 - 2","8","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Construcción","Entre 1 y 5 años","(48,130]","Asalariado",625.74215182702,871920
"6216","4936516-1-1","4936516 - 1","8","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Menos de 1 año","(48,130]","No asalariado",614.679314713997,311400
"6217","4936516-1-2","4936516 - 1","8","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",614.679314713997,942624.408
"6218","4936516-1-5","4936516 - 1","8","Femenino","(18,26]","Otros parientes","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","Asalariado",614.679314713997,942624.408
"6219","4936516-1-6","4936516 - 1","8","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",614.679314713997,859584.408
"6220","4936522-1-1","4936522 - 1","8","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",571.807125651796,1557000
"6221","4936522-1-2","4936522 - 1","8","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","No","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",571.807125651796,1557000
"6222","4936547-1-1","4936547 - 1","8","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Correo y telecomunicaciones","Mas de 5 años","(39,48]","Asalariado",612.096933022546,1086786
"6223","4936631-1-1","4936631 - 1","11","Masculino","(26,59]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Actividades culturales y deportivas","Entre 1 y 5 años","(39,48]","Asalariado",2781.24389133021,1028811.624
"6224","4936653-1-1","4936653 - 1","11","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",3560.35437032679,960478.008
"6225","4936653-1-2","4936653 - 1","11","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(0,39]","No asalariado",3560.35437032679,83040
"6226","4936653-1-3","4936653 - 1","11","Femenino","(18,26]","Nucleo familiar","Separado y/o viudo","Superior o universitaria","Si","Educación","Menos de 1 año","(39,48]","No asalariado",3560.35437032679,415200
"6227","4936654-1-1","4936654 - 1","11","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",3205.22651699907,1245600
"6228","4936654-1-2","4936654 - 1","11","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",3205.22651699907,2076000
"6229","4936655-1-1","4936655 - 1","11","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]","Asalariado",3030.28003381652,996480
"6230","4936657-1-1","4936657 - 1","11","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","Asalariado",3067.18419456054,747360
"6231","4936657-2-1","4936657 - 2","11","Femenino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]","Asalariado",3067.18419456054,622800
"6232","4936683-1-2","4936683 - 1","11","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","Asalariado",3054.67083590587,960303.624
"6233","4936683-1-4","4936683 - 1","11","Femenino","(26,59]","Nucleo familiar","Separado y/o viudo","Superior o universitaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]","Asalariado",3054.67083590587,415200
"6234","4936683-1-7","4936683 - 1","11","Masculino","(26,59]","Otros parientes","Separado y/o viudo","Básica primaria","Si","Construcción","Menos de 1 año","(48,130]","Asalariado",3054.67083590587,622800
"6235","4936686-1-1","4936686 - 1","11","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Actividades inmobiliarias","Entre 1 y 5 años","(39,48]","No asalariado",2653.98255186171,859584.408
"6236","4936686-1-2","4936686 - 1","11","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Educación","Entre 1 y 5 años","(39,48]","Asalariado",2653.98255186171,1200999.216
"6237","4936693-1-1","4936693 - 1","11","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",3134.85414893584,963384.408
"6238","4936693-1-8","4936693 - 1","11","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","Asalariado",3134.85414893584,859584.408
"6239","4936693-1-9","4936693 - 1","11","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de prendas de vestir","Menos de 1 año","(39,48]","Asalariado",3134.85414893584,747360
"6240","4936711-1-1","4936711 - 1","11","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",2202.36967558512,352920
"6241","4936711-1-3","4936711 - 1","11","Femenino","(26,59]","Otros parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",2202.36967558512,124560
"6242","4936711-1-4","4936711 - 1","11","Masculino","(26,59]","Otros parientes","Soltero","Básica secundaria","Si","Fabricación de prendas de vestir","Menos de 1 año","(48,130]","Asalariado",2202.36967558512,622800
"6243","4936711-1-5","4936711 - 1","11","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Fabricación de prendas de vestir","Entre 1 y 5 años","(48,130]","Asalariado",2202.36967558512,622800
"6244","4936723-1-2","4936723 - 1","11","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de prendas de vestir","Entre 1 y 5 años","(48,130]","Asalariado",2416.56175506458,934200
"6245","4936723-1-4","4936723 - 1","11","Femenino","(26,59]","Otros No parientes","Separado y/o viudo","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","No asalariado",2416.56175506458,726600
"6246","4936724-1-1","4936724 - 1","11","Masculino","(18,26]","Jefe de hogar","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",2381.65206775071,960303.624
"6247","4936724-1-2","4936724 - 1","11","Masculino","(18,26]","Otros parientes","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(0,39]","Asalariado",2381.65206775071,1505100
"6248","4936729-1-1","4936729 - 1","11","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Fabricación de muebles / industrias manufactureras","Entre 1 y 5 años","(48,130]","Asalariado",2968.9153105465,1014159.216
"6249","4936737-1-1","4936737 - 1","11","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(48,130]","No asalariado",2593.09515035281,155700
"6250","4936737-1-2","4936737 - 1","11","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","No asalariado",2593.09515035281,311400
"6251","4936739-1-2","4936739 - 1","11","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","Asalariado",2282.90586197553,830400
"6252","4936800-1-1","4936800 - 1","11","Masculino","(26,59]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","Asalariado",2781.24389133021,960303.624
"6253","4936847-1-1","4936847 - 1","13","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Otras actividades de servicios","Menos de 1 año","(39,48]","No asalariado",463.565829162894,622800
"6254","4936847-1-2","4936847 - 1","13","Masculino","(18,26]","Nucleo familiar","Soltero","Media (10o -13o)","No","Otras actividades de servicios","Menos de 1 año","(39,48]","No asalariado",463.565829162894,622800
"6255","4936847-1-4","4936847 - 1","13","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Básica secundaria","No","Transporte por vía terrestre; transporte por tuberías","Menos de 1 año","(39,48]","No asalariado",463.565829162894,519000
